Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2015-08-24,21251.5703125,21679.44921875,21136.48046875,21605.970703125,3579900000
2015-08-25,21404.9609375,21871.400390625,20865.259765625,21119.529296875,3588800000
2015-08-26,21080.390625,21686.44921875,21060.08984375,21434.25,2956100000
2015-08-27,21838.5390625,21963.4296875,21407.58984375,21758.619140625,3193000000
2015-08-28,21612.390625,22424.400390625,21585.330078125,22424.400390625,3009400000
2015-08-31,21670.580078125,21793.01953125,21399.619140625,21793.01953125,2686600000
2015-09-01,21185.4296875,21692.779296875,21170.859375,21692.779296875,2156000000
2015-09-02,20934.939453125,21288.529296875,20771.76953125,21101.419921875,2512600000
2015-09-04,20840.609375,21174.859375,20715.01953125,21158.9296875,2120900000
2015-09-07,20583.51953125,21056.390625,20579.9296875,20683.310546875,1656200000
2015-09-08,21259.0390625,21431.990234375,20524.880859375,20636.830078125,2266200000
2015-09-09,22131.310546875,22228.58984375,21529.810546875,21632.689453125,2945600000
2015-09-10,21562.5,21771.5703125,21492.08984375,21667.859375,2092600000
2015-09-11,21504.369140625,21909.8203125,21472.16015625,21710.130859375,2371600000
2015-09-14,21561.900390625,21762.150390625,21441.7109375,21678.880859375,1472100000
2015-09-15,21455.23046875,21634.48046875,21411.169921875,21527.529296875,1352200000
2015-09-16,21966.66015625,22103.060546875,21608.5,21731.33984375,2077600000
2015-09-17,21854.630859375,22203.359375,21718.7109375,22172.6796875,2118600000
2015-09-18,21920.830078125,22052.109375,21807.25,21807.25,2054800000
2015-09-21,21756.9296875,21778.060546875,21590.69921875,21614.4296875,1372800000
2015-09-22,21796.580078125,22111.669921875,21768.98046875,21794.33984375,1438200000
2015-09-23,21302.91015625,21577.44921875,21008.609375,21529.470703125,2304500000
2015-09-24,21095.98046875,21363.2109375,21053.5,21304.900390625,1596700000
2015-09-25,21186.3203125,21318.330078125,20957.990234375,21070.390625,1729000000
2015-09-29,20556.599609375,20579.220703125,20368.119140625,20579.220703125,2537000000
2015-09-30,20846.30078125,20939.390625,20683.109375,20795.9296875,2134500000
2015-10-02,21506.08984375,21530.80078125,21130.109375,21172.939453125,2161200000
2015-10-05,21854.5,21980.83984375,21739.900390625,21930.970703125,1468800000
2015-10-06,21831.619140625,22169.099609375,21719.2890625,22169.099609375,1622600000
2015-10-07,22515.759765625,22527.7890625,21817.419921875,21884.73046875,2932800000
2015-10-08,22354.91015625,22588.689453125,22201.109375,22588.689453125,1931200000
2015-10-09,22458.80078125,22807.859375,22440.880859375,22615.939453125,2403300000
2015-10-12,22730.9296875,22779.5,22562.259765625,22614.330078125,1871900000
2015-10-13,22600.4609375,22798.900390625,22515.73046875,22677.599609375,1710900000
2015-10-14,22439.91015625,22576.5,22356.560546875,22398.8203125,1352700000
2015-10-15,22888.169921875,22940.25,22567.650390625,22667.419921875,1920800000
2015-10-16,23067.369140625,23178.140625,22953.560546875,23133.58984375,1922600000
2015-10-19,23075.609375,23100.66015625,22913.599609375,23085.609375,1259200000
2015-10-20,22989.220703125,23057.9296875,22843.0390625,22991.599609375,1217400000
2015-10-22,22845.369140625,22869.58984375,22727.58984375,22795.580078125,1374100000
2015-10-23,23151.939453125,23220.380859375,23088.029296875,23220.380859375,1495300000
2015-10-26,23116.25,23423.640625,23066.939453125,23423.640625,1465200000
2015-10-27,23142.73046875,23143.880859375,22885.220703125,23053.119140625,1532500000
2015-10-28,22956.5703125,23120.25,22923.66015625,23070.69921875,1377100000
2015-10-29,22819.939453125,23054.529296875,22811.3203125,23054.529296875,1759000000
2015-10-30,22640.0390625,22847.16015625,22612.560546875,22785.859375,1537100000
2015-11-02,22370.0390625,22605.80078125,22332.7109375,22502.279296875,1688700000
2015-11-03,22568.4296875,22697.0,22560.169921875,22603.150390625,1469600000
2015-11-04,23053.5703125,23342.0703125,22737.439453125,22737.439453125,2604100000
2015-11-05,23051.0390625,23180.26953125,22960.619140625,23045.099609375,1502700000
2015-11-06,22867.330078125,22922.7890625,22791.91015625,22914.19921875,1395000000
2015-11-09,22726.76953125,22970.830078125,22689.259765625,22753.509765625,1544900000
2015-11-10,22401.69921875,22534.919921875,22339.689453125,22505.69921875,1796800000
