Date,Close,High,Low,Open,Volume,sentiment_score,Sentiment_MA7,Sentiment_Momentum,Return_1D,Volatility_10D,Return,Target
2015-05-12,27407.1796875,27693.630859375,27395.91015625,27664.1796875,1530000000.0,0.164381911046803,-0.19211944511958529,0.3565013561663883,-0.011220769747538717,0.007965687282284027,-0.011220769747538717,0
2015-05-13,27249.279296875,27524.8203125,27191.029296875,27473.5,2088800000.0,0.2183638457208871,-0.038275433970349146,0.25663927969123623,-0.005761278337479414,0.007860976628170702,-0.005761278337479414,1
2015-05-14,27286.55078125,27397.669921875,27192.9296875,27395.919921875,1522200000.0,-0.4456182243302464,-0.10193518030324149,-0.3436830440270049,0.001367797069747656,0.008022765742167993,0.001367797069747656,1
2015-05-15,27822.279296875,27928.599609375,27315.099609375,27459.580078125,1754100000.0,0.0,-0.07798518067491902,0.07798518067491902,0.01963342746834562,0.010656449942540861,0.01963342746834562,0
2015-05-18,27591.25,27792.439453125,27435.5703125,27792.439453125,1378800000.0,-0.8697770647704601,-0.15229383097695454,-0.7174832337935055,-0.008303751623288114,0.010891506514845849,-0.008303751623288114,1
2015-05-19,27693.5390625,27765.55078125,27500.759765625,27597.0703125,1559500000.0,-0.8473113998770714,-0.317939879505762,-0.5293715203713094,0.0037073007747021602,0.010241822567846559,0.0037073007747021602,0
2015-05-20,27585.05078125,27751.439453125,27490.330078125,27751.439453125,1470400000.0,0.0,-0.2542801331728697,0.2542801331728697,-0.0039174581842053025,0.010232925618445571,-0.0039174581842053025,0
2015-05-21,27523.720703125,27611.720703125,27393.310546875,27507.3203125,1221500000.0,0.2413774896413087,-0.243280764802226,0.4846582544435347,-0.0022233085090670457,0.009300206787740595,-0.0022233085090670457,1
2015-05-22,27992.830078125,28041.3203125,27696.970703125,27723.669921875,1899400000.0,-0.8697770647704601,-0.3987294663009899,-0.47104759846947025,0.017043821220970923,0.010231694632860534,0.017043821220970923,1
2015-05-26,28249.859375,28524.599609375,28237.490234375,28462.3203125,2672100000.0,0.2413774896413087,-0.30058722144791056,0.5419647110892193,0.009181968959824927,0.0104677890190323,0.009181968959824927,0
2015-05-27,28081.2109375,28214.66015625,27982.140625,28214.66015625,1863600000.0,0.0,-0.30058722144791056,0.30058722144791056,-0.005969885912042727,0.009846948560724933,-0.005969885912042727,0
2015-05-28,27454.310546875,28162.25,27242.109375,28162.25,3066700000.0,0.3122109398245811,-0.13173179222004755,0.44394273204462864,-0.022324549750375233,0.012438458963595874,-0.022324549750375233,0
